name,furigana_name,furigana_initial,prefecture_name,commentary,image,user_id
島津義弘,しまづよしひろ,さ行,,島津家を九州統一に導いた猛将。大友・龍造寺家を粉砕し、「鬼島津」の武名を明国まで鳴り響かせた。関ヶ原での敵中突破など、その武功は数知れない。  ,marunijuumonji-b.png,1
清水宗治,しみずむねはる,さ行,,毛利家臣。対織田家の最前線である備中高松城を任された。豊臣秀吉の「水攻め」では落城寸前まで追い込まれ、宗治は城兵の助命と引き替えに自刃をする。  ,mitsumorisantoumigidomoe-b.png,1
神保長職,じんぼうながもと,さ行,,越中富山城主。上杉謙信の攻撃を受け、増山城に逃れる。のちに謙信に降り、一向一揆勢と戦う。しかし、実質上の家中の主導権は、小島職鎮に奪われた。  ,marunitatefutatsuhiki-b.png,1
陶晴賢,すえはるかた,さ行,,大内家筆頭家老。「西国無双の侍大将」と評された。文弱な主君・義隆を自刃させ、主家を傀儡化する。しかし、毛利元就の謀略にあい、厳島で敗死した。  ,karahanabishi-b.png,1
鈴木重朝,すずきしげとも,さ行,,紀州・雑賀衆の出身。重朝率いる鉄砲隊は、種子島銃を改良した「雑賀銃」を操る精鋭であった。豊臣秀吉に仕え、朝鮮や関ヶ原を転戦した。  ,yatagarasu-b.png,1
諏訪頼重,すわよりしげ,さ行,,信州諏訪大社大祝。義兄・武田信玄と対立し、戦いに及んだが敗北。甲斐に幽閉され、自刃させられた。文武両道の武将であったと伝わる。  ,suwakajinoha-b.png,1
仙石秀久,せんごくひでひさ,さ行,,豊臣家臣。戸次川合戦に総大将として出陣したが大敗、謹慎処分を受ける。小田原征伐では、甲胄に鈴をつけて奮戦し、その功により信濃小諸城主となった。  ,eirakusen-b.png,1
相馬義胤,そうまよしたね,さ行,,相馬家第１６代。伊達家との争いに終始した。関ヶ原の合戦で西軍に属したため戦後所領を没収されかけたが、伊達政宗の取りなしで本領を安堵された。,soumatsunagiuma-b.png,1
十河一存,そごうかずなが,さ行,,三好長慶の弟。讃岐十河家を継ぐ。讃岐衆を統率して畿内を席巻し、世に「鬼十河」と恐れられた猛将。有馬権現に参詣途上、落馬したけがにより死亡した。  ,kugyounihiougi-b.png,1
大道寺政繁,だいどうじまさしげ,た行,,北条家譜代の家に生まれ、内政に手腕を発揮した。小田原合戦では前田利家軍の攻撃を受け、降伏。忍城攻めに協力したが、戦後、豊臣秀吉に切腹させられた。  ,maruniagehachou-b.png,1
高橋紹運,たかはししょううん,た行,,子・宗茂の養父である立花道雪と共に、衰退しつつある大友家を支える。島津義久が大軍で攻めてきた際には、岩屋城で島津の兵を道連れに玉砕した。  ,dakihanagyouyou-b.png,1
高山右近,たかやまうこん,た行,,織田家臣。高槻城主。友照の子。父と同じくキリスト教に入信する。各地の合戦で活躍するが、後に改宗を拒否したため改易され、幕府の命で呂宋へ追放された。,shichiyou-b.png,1
滝川一益,たきがわかずます,た行,,信長麾下の猛将として転戦し、武田家攻めでは抜群の軍功をあげる。しかし、本能寺の変後、北条軍に大敗して清洲会議に参加できず、失意のうちに病死する。  ,marunitatemokkou-b.png,1
武田勝頼,たけだかつより,た行,,武田信玄の四男。兄・義信の死去によって、家督を継ぐ。長篠の合戦で、織田・徳川連合軍に敗れる。１５８２年、侵攻してきた織田軍に追いつめられ、自害。,takedahishi-b.png,1
武田信玄,たけだしんげん,た行,,甲斐守護。信虎の嫡男。父の苛烈な政策に反対して父を追放、当主となる。精強な騎馬軍団を率い、臨機応変の知略で織田信長を苦しめた。通称「甲斐の虎」。,takedahishi-b.png,1
武田信繁,たけだのぶしげ,た行,,武田信玄の弟。文武に優れ、家中の人望高く、兄の副将として活躍。川中島の合戦で自らの死と引き換えに信玄を守り、「まことの武将」と高く評価された。  ,takedahishi-b.png,1
竹中半兵衛,たけなかはんべえ,た行,,羽柴秀吉の軍師。名城稲葉山を、わずか十数人で乗っ取った。その智謀に惚れ込んだ秀吉が、「三顧の礼」をもって軍師に迎えたという。  ,kyuumaizasa-b.png,1
立花道雪,たちばなどうせつ,た行,,大友家を支えた名将。若い頃に落雷に遭い、歩行不能となる。しかし、合戦では輿に乗って常に先陣を切ったため、家臣たちは「雷神の化身」と畏れ敬った。  ,dakihanagyouyou-b.png,1
立花宗茂,たちばなむねしげ,た行,,大友家の名将高橋紹運を実父に、立花道雪を養父に持つ。清廉な人柄は多くの人の共感を呼んだ。西軍に荷担した関ヶ原合戦以後も徳川家などに厚遇された。  ,yanagawamamori-b.png,1
伊達成実,だてしげざね,た行,,政宗の従兄弟。伊達家中随一の猛将で、政宗の信頼は厚かった。各地で軍功をあげ、政宗の奥州制覇に貢献する。政宗の活躍を『伊達日記』に著した。  ,sendaizasa-b.png,1
伊達政宗,だてまさむね,た行,,異名を「独眼竜」。苛烈な転戦で畠山・佐竹・蘆名を凌駕し、２４歳にして奥州に覇を唱えた。権謀術数に長け、豊・徳両政権下で、広大な所領を守り抜いた。,sendaizasa-b.png,1
長宗我部信親,ちょうそかべのぶちか,た行,,元親の嫡男。知勇兼備の将で、父や家臣から大きな期待を寄せられた。豊後戸次川合戦で戦死した。元親は信親の死に落胆し、切腹しようとしたという。  ,maruninanatsukatabami-b.png,1
長宗我部元親,ちょうそかべもとちか,た行,,父・国親の死後に家督を相続し、宿敵・本山氏らを葬って土佐を統一。その後も破竹の快進撃を続け、わずか１０年で四国の統一に成功した「土佐の出来人」。,maruninanatsukatabami-b.png,1
長宗我部盛親,ちょうそかべもりちか,た行,,長宗我部元親の四男。関ヶ原合戦で西軍に与したため、家督継承後１年で改易。大坂城に入城し、夏の陣で藤堂高虎軍を破るなど活躍したが、戦後刑死した。,maruninanatsukatabami-b.png,1
津軽為信,つがるためのぶ,た行,,南部家の傘下にあったが、最上家と結ぶと独立、津軽郡代・石川高信を討った。以後、１７年かけて南部勢力を津軽地方から駆逐し、津軽統一を果たした。,tsugarubotan-b.png,1
土屋昌恒,つちやまさつね,た行,,土屋昌次の弟。武田家終焉の地・天目山において主君・勝頼を守って奮戦したが衆寡敵せず戦死した。その戦いぶりは、のちに「片手千人斬り」といわれた。  ,kuyou-b.png,1
筒井順慶,つついじゅんけい,た行,,父の死によって、わずか２歳で家督を継いだ。大和に勢力を伸ばす松永久秀と争い、居城・筒井城を追われる。その後、信長に臣従して大和一国を安堵された。,umebachi-b.png,1
土井利勝,どいとしかつ,た行,,水野信元の子。徳川家康の落胤という説もある。徳川秀忠・家光に仕えて老中・大老などを歴任、江戸幕府の基盤安定に多大な功績を残した。  ,mutsumizuguruma-b.png,1
藤堂高虎,とうどうたかとら,た行,,浅井家を皮切りに、家康まで７人も主君を変えた武将。しかし、才知と先見力のなせる業か、次第に禄を増やし、最後は伊勢国安濃津３２万石の大封を得た。,toudoutsuta-b.png,1
遠山友政,とおやまともまさ,た行,,美濃の豪族。苗木城主。友忠の子。金山城主・森長可と争って居城を出奔し、徳川家康を頼る。関ヶ原合戦では東軍に属して河尻秀長を破り、居城を奪還した。,marunifutatsuhiki-b.png,1
土岐頼芸,ときよりあき,た行,,美濃守護。長井規秀（斎藤道三）の後援で兄・政頼を追放して家督を継ぐ。しかし、国盗りに燃える道三により、今度は頼芸自身が追放され、各国を流浪した。  ,tokikikyou-b.png,1
徳川家康,とくがわいえやす,た行,,今川義元の人質として幼少期を過ごす。義元の死後に独立し、徳川家康を名乗った。信長との同盟で力を蓄え、ついには征夷大将軍となって江戸幕府を開く。  ,tokugawaaoi-b.png,1
徳川秀忠,とくがわひでただ,た行,,徳川家康の三男。剛毅な性格の兄たちに似ず、凡庸篤実な人柄であった。しかしその性格を父に見込まれ、兄の秀康を差し置いて徳川幕府２代将軍となった。,tokugawaaoi-b.png,1
戸沢盛安,とざわもりやす,た行,,戸沢家第１８代。武勇に優れ、初陣の乱戦の中、敵将を一刀両断にし、「鬼九郎」の異名をとる。敵の負傷者を殺さず送り届ける情け深い一面も持っていた。,marunikuyou-b.png,1
豊臣秀次,とよとみひでつぐ,た行,,豊臣家臣。豊臣秀吉の義兄・三好吉房の子。秀吉から関白職を譲られるが、のちに「殺生関白」と呼ばれるほどの乱行を振るまい、謀叛の罪で自害させられた。,taikoukiri-b.png,1
豊臣秀吉,とよとみひでよし,た行,,戦国一の出世頭。織田信長に仕え、傑出した人望と知略を武器に活躍し、頭角を現す。本能寺の変後、明智光秀、柴田勝家らを次々と倒し、天下に覇を唱えた。,taikoukiri-b.png,1
豊臣秀頼,とよとみひでより,た行,,豊臣秀吉の子で、母は淀殿。秀吉の死後天下動乱の中心になる。自らの意志を持てなかったことが、悲劇の原因か、大坂夏の陣で母と共に自刃した。  ,goshichikiri-b.png,1
鳥居元忠,とりいもとただ,た行,,徳川家の臣。関ヶ原合戦の際は家康の命により伏見城に篭城し、１３日間の攻防戦の末、元忠以下全員玉砕した。その忠節は「三河武士の鑑」と称賛された。,toriisasa-b.png,1
内藤信成,ないとうのぶなり,な行,,徳川家臣。三方ヶ原の合戦では殿軍を率い、長篠の合戦では先陣として活躍するなど多くの戦功を立てた。後に近江長浜で四万石の大名となった。  ,naitoufuji-b.png,1
内藤昌豊,ないとうまさとよ,な行,,武田四名臣の１人。武田信繁亡き後の信玄の副将格と目され、関東方面の軍事・政略を任された。長篠の合戦に従軍、他の老臣たちと共に戦死した。,marunihanabishi-b.png,1
内藤政長,ないとうまさなが,な行,,徳川家臣。家長の長男。小牧長久手合戦で初陣。父が伏見城で戦死すると後を継ぐ。関ヶ原合戦では上杉景勝に備え、大坂夏の陣では江戸城留守居を務めた。,naitoufuji-b.png,1
直江景綱,なおえかげつな,な行,,初名は実綱。上杉謙信の側近として、内政・外交に腕を振るった。謙信の信頼が厚く、謙信の旧名・景虎から「景」の一字を拝領して景綱と改名した。  ,kikkouhanabishi-b.png,1
直江兼続,なおえかねつぐ,な行,,上杉景勝の近侍から家老となり、政事に辣腕を振るう。清廉潔白で知られ、関ヶ原の合戦後も、主犯格ながら兼続は徳川家康に抹殺されなかった。  ,mitsumorikikkounihanabishi-b.png,1
永井直勝,ながいなおかつ,な行,,徳川家臣。家康の長男・信康に仕えたが信康が自刃させられたために一時出奔。のちに再仕官して小牧長久手の戦いでは池田恒興を討ち取る大功を挙げている。,nagaikaranashi-b.png,1
中川清秀,なかがわきよひで,な行,,織田家臣。荒木村重の配下だったが、村重の謀叛を機に袂を分かつ。山崎の戦いで活躍。賎ヶ岳合戦で、前線の砦を守備中に佐久間盛政に攻撃され、戦死した。  ,nakagawakashiwa-b.png,1
長野業正,ながのなりまさ,な行,,山内上杉家の臣。主家滅亡後も居城・箕輪城に残り、６度の武田信玄の侵攻を撃退した智将。信玄は「業正がいる限り上州には手は出せぬ」と嘆いたという。,hiougi-b.png,1
鍋島直茂,なべしまなおしげ,な行,,龍造寺家の重臣。智謀・勇猛・博識をもって主君・隆信を支えた名将。しかし、隆信の死後は主家を断絶させ、徳川政権下で名実共に佐賀藩を手中にした。  ,nabeshimagyouyou-b.png,1
浪岡具運,なみおかともかず,な行,,南北朝時代、南朝方、北畠顕家の後裔。祖父の代より京都に使者を送って、官位を得たという。一族の北畠具信に殺された。  ,sasarindou-b.png,1
南部信直,なんぶのぶなお,な行,,北信愛の支持を受け、南部家２６代当主となる。一族の九戸政実の乱や諸豪族の一揆に苦しめられながらも、秀吉に接近し、領内統一を進めた。,nanbutsuru-b.png,1
南部晴政,なんぶはるまさ,な行,,南部家２４代。上洛した際に将軍・足利義晴の偏諱を賜り、晴政と名乗る。三戸城を中心に、「三日月の丸くなるまで南部領」といわれる広大な版図を築いた。,nanbutsuru-b.png,1
新納忠元,にいろただもと,な行,,島津家の一族・新納家の出身で、義久の側近。「鬼武蔵」の異名を持つ猛将である一方、「二才咄格式定目」を定めて郷中教育の基礎を作った文武両道の人。  ,marunikagijuuji-b.png,1
丹羽長秀,にわながひで,な行,,実直な、信長股肱の臣。本能寺の変後は羽柴秀吉に同調したが、織田家を我が物にせんとする秀吉を恨み、病床で割腹。遺書と腫瘍を秀吉に送りつけたという。  ,niwasujikai-b.png,1
畠山義総,はたけやまよしふさ,は行,,能登守護。七尾城を築く。能登では義総の治世下三十年間に渡って政治的安定が続き、教養人・義総をたよって、多くの公家が戦乱の京から逃れてきた。  ,marunouchinifutatsuhiki-b.png,1
波多野秀治,はたのひではる,は行,,丹波に覇を唱えた豪族。居城・八上城を三好家から奪還する。信長の命で明智光秀の軍が攻めてくると、篭城する。抗戦むなしく、捕らえられて処刑された。  ,maruninukejuuji-b.png,1
蜂須賀家政,はちすかいえまさ,は行,,豊臣家臣。小六正勝の子。秀吉に従って各地を転戦し、阿波一国を与えられる。関ヶ原合戦には出陣せず、子の至鎮を東軍に送って本領を安堵された。  ,marunimanji-b.png,1
蜂須賀小六,はちすかころく,は行,,豊臣家臣。墨俣一夜城の築城に協力し、以後、秀吉の参謀として民政・調略に手腕を発揮。四国征伐後、長宗我部家への抑えとして阿波徳島１８万石を領した。,marunimanji-b.png,1
蜂須賀至鎮,はちすかよししげ,は行,,家政の嫡男。幼少の頃より豊臣秀吉に仕えた。関ヶ原合戦では東軍に属した。戦後、家督を相続、阿波徳島藩初代藩主となる。大坂の陣でも戦功を立てた。  ,marunimanji-b.png,1
馬場信春,ばばのぶはる,は行,,武田家臣。武田四名臣の１人。多くの合戦に参加し一度も負傷せず「不死身の鬼美濃」と呼ばれた。長篠合戦の際に殿軍として主君・勝頼の逃亡を助け、戦死。,hanabishi-b.png,1
一柳直盛,ひとつやなぎなおもり,は行,,豊臣家臣。小田原攻めで戦死した兄・直末の後を継ぐ。関ヶ原合戦では東軍につき、功を立てる。大坂の両陣にも参戦した。後に伊予西条に加増転封となった。  ,marunikuginuki-b.png,1
福島正則,ふくしままさのり,は行,,賎ヶ岳七本槍筆頭。武勇に優れ、各地の合戦で活躍する。関ヶ原合戦の軍功により安芸広島４９万石を得たが、幕府の陰謀にかかって改易された。,fukushimaomodaka-b.png,1
別所長治,べっしょながはる,は行,,播磨三木城主。豊臣秀吉の中国攻めに抗戦。約２年の篭城の末、城兵助命のために自決。「今はただ恨みもあらじ諸人の命に代るわが身と思へば」が辞世の句。,hidarimitsutomoe-b.png,1
北条氏綱,ほうじょううじつな,は行,,後北条家２代。「北条」の姓を使い始めたのは氏綱といわれる。扇谷上杉家との戦いや、里見家との第一次国府台合戦に勝つなど、着実に関東に地盤を築いた。,houjouuroko-b.png,1
北条氏直,ほうじょううじなお,は行,,後北条家最後の当主。豊臣秀吉の上洛命令を無視したため、秀吉軍の攻撃を受ける。小田原開城後に自刃を申し入れたが拒否され、高野山に蟄居、同地で病死。  ,houjouuroko-b.png,1
北条氏政,ほうじょううじまさ,は行,,後北条家第４代。上杉謙信・武田信玄らを相手に一歩も退かず、着実に関東に勢力を拡大した。豊臣秀吉の小田原征伐軍に城を包囲され降伏、戦後自刃した。,houjouuroko-b.png,1
北条氏康,ほうじょううじやす,は行,,後北条家第３代当主。戦場では敵に決して背を見せぬ勇猛として知られる。政事では農政・経済・治安すべてに辣腕を振るう民政家でもあった。,houjouuroko-b.png,1
北条早雲,ほうじょうそううん,は行,,今川家臣。小鹿範満の乱を平定し、発言力を持つ。堀越公方や扇谷上杉家臣・三浦家らを滅ぼして伊豆・相模を領国化した。「戦乱の梟雄」として名高い人物。,houjoumukaichou2-b.png,1
保科正直,ほしなまさなお,は行,,保科正俊の子。武田家に仕え、信濃飯田方面の守備に当たる。武田家が滅亡すると、徳川家康に仕えて二万五千石を領した。信州上田城攻めにも従軍している。  ,kakukuyou-b.png,1
細川忠興,ほそかわただおき,は行,,藤孝の嫡男。明智光秀の娘・玉子（ガラシア）を娶り、溺愛した。本能寺の変では妻を幽閉し、自らは剃髪して信長への弔意を示す。茶人・歌人として有名。  ,kuyou-b.png,1
細川藤孝,ほそかわふじたか,は行,,足利義輝・義昭と将軍家に仕え、のち信長の家臣となる。信長の死後は、豊臣・徳川と的確な主替えで、その家筋を保った。和歌に秀でた文化人でもある。  ,matsukasabishi-b.png,1
堀田正吉,ほったまさよし,は行,,徳川家臣。もとは信長に仕えたが、その後、浅野長政、小早川隆景、小早川秀秋に仕え、秀秋死後、徳川幕府の幕臣となった。妻が春日局の義理の娘。,hottamokkou-b.png,1
本願寺顕如,ほんがんじけんにょ,は行,,本願寺１１世法主。領国の完全支配を図る戦国大名に抵抗し、日本各地で一向宗門徒を蜂起させた。特に信長は「仏敵」として、徹底的に抵抗し続けた。,kujoufuji-b.png,1
本庄繁長,ほんじょうしげなが,は行,,上杉家臣。謙信に従って、川中島合戦や関東攻略で功を立てた。武田家に内通したために謙信に攻められ、浪人となる。後に帰参し、各地で活躍した。  ,goshichikiri-b.png,1
本多忠勝,ほんだただかつ,は行,,「家康に過ぎたるもの」と謳われたほどの武勇の士で、徳川家四天王の１人。名槍「蜻蛉切」を手に５０回あまり戦い、傷の１つも負わなかったという。,hondatachiaoi-b.png,1
本多正信,ほんだまさのぶ,は行,,徳川家康の謀臣。三河一向一揆で一揆勢に加担。諸国を放浪ののち家康に帰参する。行政と謀略に優れた手並を見せた。家康は正信を「友」と呼んだという。  ,marunitachiaoi-b.png,1
前田慶次,まえだけいじ,ま行,,前田利久の養子。出自は滝川家という。戦国一の傾奇者。槍を使えば天下無双、風雅の道にも造詣が深かった。上杉景勝の将・直江兼続の下、会津遠征に参加。  ,kagaumebachi-b.png,1
前田利家,まえだとしいえ,ま行,,信長に仕え、数々の戦で軍功をあげた。羽柴秀吉の親友で、信長の死後は秀吉に仕える。１５９８年、五大老の１人となるも、翌年、大坂で病死する。,kagaumebachi-b.png,1
松永久秀,まつながひさひで,ま行,,主家・三好氏の実権を掌握する。信長の上洛軍に降るが、将軍・義昭が信長包囲網を敷くと荷担する。信長に信貴山城を攻略され、名器「平蜘蛛」と共に爆死。  ,tsuta-b.png,1
松前慶広,まつまえよしひろ,ま行,,蛎崎季広の子。豊臣秀吉に接近し、蝦夷の支配権を獲得する。松前の姓は、松平家（家康）と前田家（利家）から取るなど、世渡りの巧さは一級品。  ,marunitakedabishi-b.png,1
松浦鎮信,まつらしげのぶ,ま行,,肥前平戸城主。隆信の子。秀吉から朱印状を受けて海外通商を行う。スペイン船寄港への尽力、オランダ・イギリス商館の設立など、平戸貿易隆盛に貢献した。  ,matsuuraboshi-b.png,1
水野勝成,みずのかつなり,ま行,,徳川家臣。遠江高天神城攻めなど多くの合戦に従軍した。一時は豊臣秀吉などにに仕えたが、後に帰参し、備中福山十万石を領す。島原の乱にも参陣した。  ,mizunoomodaka-b.png,1
溝口秀勝,みぞぐちひでかつ,ま行,,加賀大聖寺城主、のち越後新発田藩主となる。豊臣秀吉に仕え、朝鮮出兵では名護屋城の普請と警護にあたる。関ヶ原の合戦では東軍に属し所領を安堵された。  ,mizoguchibishi-b.png,1
三好長慶,みよしちょうけい,ま行,,管領・細川晴元の執事となり、勢力を拡大。やがて、晴元を追放して幕府の実権を掌握する。しかし、弟や子の死によって心身に異常をきたし、病死した。  ,sankaibishi-b.png,1
村上武吉,むらかみたけよし,ま行,,能島村上水軍の頭領。厳島合戦において毛利軍の勝利に大きく貢献する。以後は毛利家に仕え、木津川口合戦で織田水軍に大勝するなど各地で勇名を馳せた。,uemoji-b.png,1
村上義清,むらかみよしきよ,ま行,,北信濃一帯に覇を唱えた猛将。武田信玄の攻撃を二度とも撃ち破り、勇名を轟かす。しかし、真田幸隆の計略に敗れて信濃を逐われ、越後の長尾景虎を頼った。  ,uemoji-b.png,1
毛利輝元,もうりてるもと,ま行,,元就の嫡孫。お人好しであったという。その性格が災いしてか、関ヶ原合戦では西軍の総大将にされたあげく、敗北。戦後、かろうじて防長二国を安堵された。  ,nagatomitsuboshi-b.png,1
毛利元就,もうりもとなり,ま行,,瀬戸内の謀将。調略によって西国の旧権力や列強を下し、安芸国の一土豪から中国十カ国の太守にまで成り上がった。三人の子に説いた「三矢の訓」は有名。  ,nagatomitsuboshi-b.png,1
最上義光,もがみよしあき,ま行,,出羽の驍将。稀代の策謀家で、父に隠居を強制したうえ、弟を殺して当主となった。その後も政略結婚や邪魔者を抹殺するなどして、最上家の安定を図った。  ,marunifutatsuhiki-b.png,1
森長可,もりながよし,ま行,,森可成の嫡男。「鬼武蔵」と呼ばれた。信長に仕え、長島一向一揆鎮圧などで功を立てる。信長の没後は豊臣秀吉に従って、小牧長久手の合戦で戦死した。  ,moritsurunomaru-b.png,1
森可成,もりよしなり,ま行,,早くから織田信長に仕え、清洲城奪回や桶狭間の合戦などで武功を上げた。近江宇佐山城を守備中に浅井・朝倉連合軍に攻められ、戦死した。  ,moritsurunomaru-b.png,1
森蘭丸,もりらんまる,ま行,,可成の三男で、信長の近臣。利発な少年であり、信長との間に数々の逸話を残している。将来を嘱望されたが、本能寺で信長に殉死。美童の名だけが残った。  ,moritsurunomaru-b.png,1
柳生宗矩,やぎゅうむねのり,や行,,新陰流の剣術家。父・石舟斎宗厳と共に徳川家康に仕え、秀忠・家光の兵法師範を務める。家光の信任厚く、大目付となり、ついで一万石の大名に列せられた。  ,yagyuugasa-b.png,1
山県昌景,やまがたまさかげ,や行,,武田四名臣の１人。昌景が率いる「赤備え」は、武田軍随一の精強軍団である。三方ヶ原の合戦では徳川軍を撃退した。長篠の合戦で銃撃を受け、戦死した。,kikyou-b.png,1
山口重政,やまぐちしげまさ,や行,,徳川家臣。はじめ織田家臣・佐久間信栄に仕える。信栄失脚後は織田信雄に仕え信雄改易後、家康の招きを受けた。しかし、のちに家康の勘気を受け蟄居した。,oouchihishi-b.png,1
山中鹿介,やまなかしかのすけ,や行,,尼子家の忠臣で、「我に七難八苦を…」と願ったというその一生は、尼子家再興に捧げられた。何度も兵を挙げるが失敗し、再興の夢はかなわぬまま死亡した。  ,tachibana-b.png,1
山名祐豊,やまなすけとよ,や行,,但馬守護。山名家の総領として活躍、因幡を支配下に置く。信長の侵攻軍に降った後、毛利家の侵攻にも降ったために再び信長の攻撃を受け、降伏した。  ,yamanakiri-b.png,1
山名豊国,やまなとよくに,や行,,因幡守護。尼子家、毛利家と次々に乗り換え、最後は豊臣秀吉の山陰侵攻軍に降る。秀吉の御咄衆として仕えたが、関ヶ原合戦後は家康の御咄衆となった。  ,yamanakiri-b.png,1
山内一豊,やまのうちかずとよ,や行,,はじめ信長に仕え、妻の「内助の功」もあって出世を遂げた。のち秀吉に仕え、遠江国掛川を領す。関ヶ原の合戦で東軍に属し、その功により土佐一国を得た。  ,tosakashiwa-b.png,1
山本勘助,やまもとかんすけ,や行,,武田信玄の軍師。天文学から兵法まで文武百般に通じた。川中島の合戦では「きつつきの戦法」を考案したが失敗。その責を負って乱軍に突入し、戦死した。  ,santoumigidomoe-b.png,1
遊佐続光,ゆさつぐみつ,や行,,畠山家臣。温井総貞との抗争に敗れて主家を離れたが、総貞の死後に帰参する。上杉・織田に従い、能登の実権奪取を図るが、信長に殺害された。  ,rokkanimutsukarabana-b.png,1
龍造寺隆信,りゅうぞうじたかのぶ,ら行,,曾祖父以来の宿敵・少弐氏を倒した後、大友氏の衰退に乗じて九州の五国二島を領有、「肥前の熊」の異名を取る。沖田畷合戦で島津軍の奇襲を受け戦死した。  ,kawarijuunihiashi-b.png,1
分部光嘉,わけべみつよし,わ行,,本姓細野家。分部家の養子となる。信長の北伊勢侵攻に際しては、抗戦を主張する兄に対して和議を説き、長野家に信長の弟・信包を嗣子として迎え入れた。  ,marunouchinimitsuhiki-b.png,1
渡辺守綱,わたなべもりつな,わ行,,徳川家臣。初陣より各地を転戦、「槍の半蔵」の異名を取る。関ヶ原合戦の際は旗本として参陣。尾張徳川家の家老となり、当主の義直を補佐した。  ,watanabeboshi-b.png,1